seed,device,total_labels,arm,overall_accuracy,common_accuracy,rare_rule_accuracy,stochastic_pocket_accuracy,active_experts,birth_count,rare_rule_births,stochastic_false_births,surprise_rate,proposal_count,stochastic_rejections,expected_uncertainty_expert_0,rare_switch_margin_mean,stochastic_switch_margin_mean,forward_work,backward_work
0,cuda,512,single,0.8466666340827942,0.9410223364830017,0.5887096524238586,0.49262535572052,1,0,0,0,0.0,0,0,0.25680933852140075,,,4024,512
0,cuda,512,raw_loss,0.8466666340827942,0.9410223364830017,0.5887096524238586,0.49262535572052,1,0,0,0,0.072265625,0,0,0.19916142557651992,,,4024,512
0,cuda,512,expected_only,0.8466666340827942,0.9410223364830017,0.5887096524238586,0.49262535572052,1,0,0,0,0.18359375,0,0,0.09047619047619047,,,4024,512
0,cuda,512,unvalidated,0.8306666612625122,0.9178680777549744,0.5913978219032288,0.5044247508049011,2,1,0,0,0.130859375,1,0,0.19327731092436976,,,37164,32912
0,cuda,512,joint,0.8466666340827942,0.9410223364830017,0.5887096524238586,0.49262535572052,1,0,0,0,0.171875,1,0,0.17136659436008678,,,24376,20252
0,cuda,512,environment_oracle,0.8723333477973938,0.9082568883895874,0.9435483813285828,0.5516223907470703,3,0,0,0,0.0,0,0,,,,17048,5760
0,cuda,1024,single,0.8240000009536743,0.9100043773651123,0.5940859913825989,0.4955752193927765,1,0,0,0,0.0,0,0,0.16536964980544747,,,5048,1024
0,cuda,1024,raw_loss,0.8543333411216736,0.908693790435791,0.852150559425354,0.48967552185058594,3,2,1,1,0.07421875,2,0,0.10894941634241245,18.33720541380291,-44.13195170193509,82554,76584
0,cuda,1024,expected_only,0.8240000009536743,0.9100043773651123,0.5940859913825989,0.4955752193927765,1,0,0,0,0.19140625,0,0,0.0019455252918287938,,,5048,1024
0,cuda,1024,unvalidated,0.7993333339691162,0.8645697236061096,0.6666666865348816,0.5044247508049011,2,1,0,0,0.099609375,1,0,0.11673151750972763,,,38700,33424
0,cuda,1024,joint,0.8506666421890259,0.9143730998039246,0.7983871102333069,0.47787609696388245,2,1,1,0,0.123046875,3,1,0.20817120622568094,18.625246154967993,-14.645835054214745,84730,78084
0,cuda,1024,environment_oracle,0.8709999918937683,0.9174312353134155,0.9166666865348816,0.50737464427948,3,0,0,0,0.0,0,0,,,,19096,5760
0,cuda,1536,single,0.8723333477973938,0.9716033339500427,0.6048387289047241,0.4955752193927765,1,0,0,0,0.0,0,0,0.14396887159533073,,,6072,1536
0,cuda,1536,raw_loss,0.9016666412353516,0.9611184000968933,0.8951612710952759,0.50737464427948,3,2,1,1,0.057942708333333336,2,0,0.12062256809338522,18.33720541380291,-44.13195170193509,84602,77096
0,cuda,1536,expected_only,0.8723333477973938,0.9716033339500427,0.6048387289047241,0.4955752193927765,1,0,0,0,0.20638020833333334,0,0,0.0019455252918287938,,,6072,1536
0,cuda,1536,unvalidated,0.8566666841506958,0.935779869556427,0.6827957034111023,0.5132743120193481,3,2,0,1,0.08854166666666667,2,0,0.1926070038910506,,-15.425006757556062,79269,72056
0,cuda,1536,joint,0.9079999923706055,0.959807813167572,0.9704301357269287,0.48967552185058594,2,1,1,0,0.08723958333333333,3,1,0.1303501945525292,18.658249485198706,-14.645835054214745,86346,78676
0,cuda,1536,environment_oracle,0.9043333530426025,0.958497166633606,0.9596773982048035,0.47787609696388245,3,0,0,0,0.0,0,0,,,,21144,5760
1,cuda,512,single,0.762666642665863,0.8145550489425659,0.6619718074798584,0.535714328289032,1,0,0,0,0.0,0,0,0.3852140077821012,,,4024,512
1,cuda,512,raw_loss,0.797333300113678,0.8566418290138245,0.6901408433914185,0.5302197933197021,2,1,0,0,0.087890625,1,0,0.4378947368421053,,,31157,26932
1,cuda,512,expected_only,0.762666642665863,0.8145550489425659,0.6619718074798584,0.535714328289032,1,0,0,0,0.052734375,0,0,0.351129363449692,,,4024,512
1,cuda,512,unvalidated,0.762666642665863,0.8145550489425659,0.6619718074798584,0.535714328289032,1,0,0,0,0.052734375,0,0,0.351129363449692,,,4024,512
1,cuda,512,joint,0.762666642665863,0.8145550489425659,0.6619718074798584,0.535714328289032,1,0,0,0,0.052734375,0,0,0.351129363449692,,,4024,512
1,cuda,512,environment_oracle,0.9129999876022339,0.9767645597457886,0.9352112412452698,0.49175825715065,3,0,0,0,0.0,0,0,,,,17048,5760
