budget,total_labels,arm,seed_count,minority_mean,minority_sd,minority_ci_low,minority_ci_high,majority_mean,majority_sd,majority_ci_low,majority_ci_high,minority_delta_mean,minority_delta_ci_low,minority_delta_ci_high,majority_delta_mean,majority_delta_ci_low,majority_delta_ci_high,joint_target_attainment
0,512,ordinary_mean,16,0.5129534900188446,0.01658861205227603,0.5041140426137737,0.5217929374239155,0.9529815465211868,0.008632368382026466,0.9483816821049441,0.9575814109374295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,512,ordinary_routed,16,0.5132937300950289,0.018384916006250574,0.5034970998783616,0.5230903603116962,0.9439678639173508,0.006826985617676641,0.9403300200692666,0.947605707765435,0.00034024007618427277,-0.005223582595704986,0.005904062748073532,-0.00901368260383606,-0.011691448446507133,-0.006335916761164986,0.0
0,512,specialist_mean,16,0.5467948690056801,0.026396331804907382,0.5327292566481794,0.5608604813631808,0.9196355678141117,0.025812960779238843,0.9058808119334993,0.9333903236947241,0.03384137898683548,0.01990831584028316,0.0477744421333878,-0.03334597870707512,-0.045628915766671024,-0.021063041647479214,0.0
0,512,permuted_routed_specialist,16,0.5091288350522518,0.023782494604127062,0.4964560382231934,0.5218016318813102,0.9111300744116306,0.01439914414654991,0.9034573120997289,0.9188028367235324,-0.0038246549665927887,-0.01312064764609808,0.005471337712912503,-0.0418514721095562,-0.04801666418360097,-0.03568628003551143,0.0
0,512,routed_specialist,16,0.6949196346104145,0.05978537135233364,0.6630622589604078,0.7267770102604212,0.934104897081852,0.011665593198145247,0.9278887412516353,0.9403210529120686,0.1819661445915699,0.15086143966823318,0.21307084951490662,-0.01887664943933487,-0.023243462942438533,-0.014509835936231206,0.0
32,544,ordinary_mean,16,0.5348368808627129,0.023390313334724345,0.5223730626807658,0.5473006990446599,0.9459944665431976,0.013836591330049752,0.9386214674675665,0.9533674656188288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,544,ordinary_routed,16,0.5363605916500092,0.026904267848906715,0.5220243192799695,0.5506968640200488,0.9365004897117615,0.012914891946325176,0.9296186295692759,0.9433823498542471,0.0015237107872962952,-0.004044583671321124,0.007092005245913714,-0.009493976831436157,-0.013392394710534343,-0.005595558952337971,0.0
32,544,specialist_mean,16,0.5621176771819592,0.021732078799400447,0.5505374698116988,0.5736978845522195,0.9222665689885616,0.016015753327528564,0.9137323764506239,0.9308007615264994,0.027280796319246292,0.018006901642137606,0.03655469099635498,-0.023727897554636,-0.030912020781340917,-0.016543774327931086,0.0
32,544,permuted_routed_specialist,16,0.5408707279711962,0.02848311608394489,0.5256931467628867,0.5560483091795057,0.897253479808569,0.022023459690424095,0.8855180065213694,0.9089889530957685,0.0060338471084833145,-0.005782312196678248,0.017850006413644877,-0.04874098673462868,-0.05837031502826687,-0.03911165844099049,0.0
32,544,routed_specialist,16,0.8102708272635937,0.0371431592714511,0.7904786347761507,0.8300630197510367,0.9371394850313663,0.011857980641169198,0.9308208131691486,0.9434581568935841,0.2754339464008808,0.25295380322790056,0.29791408957386106,-0.008854981511831284,-0.0156584077274202,-0.0020515552962423675,0.125
64,576,ordinary_mean,16,0.5681096352636814,0.030106405359692345,0.5520670642580962,0.5841522062692667,0.939965233206749,0.013170183854384612,0.9329473376089088,0.9469831288045891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,576,ordinary_routed,16,0.5620285086333752,0.04311495282823118,0.5390541719802389,0.5850028452865115,0.9274864457547665,0.013320867373122498,0.920388256577542,0.934584634931991,-0.006081126630306244,-0.017801565668164182,0.005639312407551696,-0.012478787451982498,-0.016777336850230876,-0.00818023805373412,0.0
64,576,specialist_mean,16,0.5753392726182938,0.02036204899283621,0.5644891026001844,0.5861894426364032,0.9198424257338047,0.01406931303444764,0.9123454180154034,0.927339433452206,0.0072296373546123505,-0.005421948291444182,0.019881223000668885,-0.02012280747294426,-0.02919502371256168,-0.011050591233326839,0.0
64,576,permuted_routed_specialist,16,0.5756167881190777,0.036496712219830134,0.556169062950236,0.5950645132879193,0.8919570706784725,0.012972241046173527,0.8850446513577844,0.8988694899991606,0.007507152855396271,-0.006210407915233071,0.021224713626025613,-0.048008162528276443,-0.05562678199199213,-0.04038954306456076,0.0
64,576,routed_specialist,16,0.8562951199710369,0.02240909354991667,0.8443541569051953,0.8682360830368785,0.9391917921602726,0.008321460675055218,0.9347575987667135,0.9436259855538317,0.2881854847073555,0.26492046790905205,0.31145050150565895,-0.0007734410464763641,-0.008633163936433833,0.007086281843481104,0.625
128,640,ordinary_mean,16,0.6327001303434372,0.03026369518690493,0.6165737455051686,0.6488265151817058,0.9320702515542507,0.012929466849366108,0.9251806249941493,0.9389598781143521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,640,ordinary_routed,16,0.6349316872656345,0.043569520012133225,0.6117151288581097,0.6581482456731593,0.92549242451787,0.011140400809440931,0.9195561239572121,0.9314287250785278,0.002231556922197342,-0.010549716418798441,0.015012830263193125,-0.006577827036380768,-0.011131450997393691,-0.0020242030753678444,0.0
128,640,specialist_mean,16,0.5921965092420578,0.02091912331528517,0.5810494952710918,0.6033435232130238,0.9114804454147816,0.01662259249438211,0.9026228911102394,0.9203379997193237,-0.040503621101379395,-0.055208375265415416,-0.02579886693734337,-0.020589806139469147,-0.02827507704579475,-0.012904535233143544,0.0
128,640,permuted_routed_specialist,16,0.6314674876630306,0.030085040133018458,0.6154363013831166,0.6474986739429447,0.8892931938171387,0.014810630107171695,0.8814011661142941,0.8971852215199833,-0.0012326426804065704,-0.013418261696418245,0.010952976335605104,-0.042777057737112045,-0.05117222198668344,-0.03438189348754065,0.0
128,640,routed_specialist,16,0.8900478482246399,0.03133324562100486,0.8733515401896925,0.9067441562595873,0.9279834926128387,0.014969698203201806,0.9200067035047451,0.9359602817209324,0.2573477178812027,0.23311968695531948,0.2815757488070859,-0.004086758941411972,-0.012825318887942893,0.004651801005118949,0.9375
256,768,ordinary_mean,16,0.6477562747895718,0.03623939184769773,0.6284456659682913,0.6670668836108522,0.9274800941348076,0.014559244431687867,0.9197220204029055,0.9352381678667097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,768,ordinary_routed,16,0.6476691700518131,0.04435873167737502,0.6240320704329809,0.6713062696706453,0.9191226400434971,0.012737003928677921,0.9123355697346052,0.925909710352389,-8.710473775863647e-05,-0.012887613255578023,0.01271340378006075,-0.008357454091310501,-0.013057559266788588,-0.0036573489158324155,0.0
256,768,specialist_mean,16,0.6035492084920406,0.0587154229174381,0.5722619681183664,0.6348364488657149,0.9056656770408154,0.04632953140893535,0.8809784123739275,0.9303529417077032,-0.04420706629753113,-0.0730065576294097,-0.015407574965652555,-0.021814417093992233,-0.046580019374350655,0.0029511851863661884,0.0
256,768,permuted_routed_specialist,16,0.6417929716408253,0.03589334660509636,0.6226667573133163,0.6609191859683342,0.8852716013789177,0.02292390593831536,0.873056314155251,0.8974868886025844,-0.0059633031487464905,-0.019243346924665266,0.007316740627172285,-0.04220849275588989,-0.050456106031684496,-0.03396087948009529,0.0
256,768,routed_specialist,16,0.8964332900941372,0.01760050166739424,0.8870546447739913,0.9058119354142831,0.9376386888325214,0.010070730617284597,0.932272375283106,0.9430050023819369,0.24867701530456543,0.22806197277768275,0.2692920578314481,0.010158594697713852,0.00315118407602406,0.017166005319403644,1.0
